window,timestamp_clock,rf_label,sgd_label,agreement,confidence,cumulative_agreement_pct
201,20:00:29,Quiet / Rest,Quiet / Rest,True,0.8033,69.27
202,20:02:19,Wake / Active,Wake / Active,True,,69.43
203,20:03:49,Wake / Active,Wake / Active,True,,69.59
204,20:05:20,Wake / Active,Wake / Active,True,,69.74
205,20:06:24,Wake / Active,Wake / Active,True,,69.9
206,20:07:27,Wake / Active,Wake / Active,True,,70.05
207,20:08:37,Quiet / Rest,Quiet / Rest,True,,70.2
208,20:09:53,Wake / Active,Quiet / Rest,False,1.0,69.85
209,20:12:47,Quiet / Rest,Wake / Active,False,,69.5
210,20:14:21,Quiet / Rest,Quiet / Rest,True,,69.65
211,20:16:07,Wake / Active,Wake / Active,True,0.7633,69.8
212,20:17:47,Wake / Active,Wake / Active,True,,69.95
213,20:19:03,Wake / Active,Wake / Active,True,,70.1
214,20:20:49,Wake / Active,Wake / Active,True,,70.24
215,20:23:12,Wake / Active,Quiet / Rest,False,1.0,69.9
216,20:24:16,Wake / Active,Wake / Active,True,1.0,70.05
217,20:25:20,Wake / Active,Wake / Active,True,,70.19
218,20:27:22,Wake / Active,Wake / Active,True,,70.33
219,20:28:38,Quiet / Rest,Quiet / Rest,True,,70.48
220,20:30:10,Quiet / Rest,Quiet / Rest,True,,70.62
221,20:32:06,Wake / Active,Wake / Active,True,,70.75
222,20:33:46,Wake / Active,Wake / Active,True,,70.89
223,20:35:03,Wake / Active,Wake / Active,True,,71.03
224,20:36:27,Wake / Active,Wake / Active,True,,71.16
225,20:37:34,Quiet / Rest,Quiet / Rest,True,,71.3
226,20:39:10,Quiet / Rest,Wake / Active,False,,70.97
227,20:40:25,Wake / Active,Quiet / Rest,False,,70.64
228,20:41:43,Quiet / Rest,Wake / Active,False,,70.32
229,20:43:01,Wake / Active,Wake / Active,True,,70.45
230,20:44:08,Wake / Active,Wake / Active,True,,70.59
231,20:45:41,Quiet / Rest,Quiet / Rest,True,,70.72
232,20:48:06,Wake / Active,Quiet / Rest,False,,70.4
233,20:49:24,Wake / Active,Wake / Active,True,,70.54
234,20:50:35,Quiet / Rest,Wake / Active,False,0.9444,70.22
235,20:52:20,Quiet / Rest,Quiet / Rest,True,,70.35
236,20:53:42,Quiet / Rest,Quiet / Rest,True,,70.48
237,20:55:18,Wake / Active,Quiet / Rest,False,,70.18
238,20:56:41,Wake / Active,Wake / Active,True,0.7845,70.31
239,20:57:52,Wake / Active,Wake / Active,True,,70.43
240,21:00:33,Wake / Active,Quiet / Rest,False,,70.13
241,21:02:30,Wake / Active,Wake / Active,True,0.6333,70.26
242,21:03:38,Quiet / Rest,Wake / Active,False,,69.96
243,21:05:20,Wake / Active,Wake / Active,True,,70.09
244,21:06:43,Wake / Active,Wake / Active,True,,70.21
245,21:07:56,Quiet / Rest,Quiet / Rest,True,,70.34
246,21:09:49,Wake / Active,Wake / Active,True,,70.46
247,21:11:23,Quiet / Rest,Wake / Active,False,,70.17
248,21:13:00,Quiet / Rest,Quiet / Rest,True,0.9922,70.29
249,21:14:23,Quiet / Rest,Quiet / Rest,True,,70.42
250,21:16:19,Quiet / Rest,Quiet / Rest,True,,70.54
