window_start_frame,window_end_frame,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag,behavior_notes
1530000,1539000,Quiet / Rest,701.62,105,180,Center,0.1053,True,
1539000,1548000,Wake / Active,172.73,36,32,Center,0.0,True,
1548000,1557000,Wake / Active,344.77,72,64,Center,0.0074,True,
1557000,1566000,Quiet / Rest,152.32,25,40,Center,0.0,True,
1566000,1575000,Quiet / Rest,135.05,19,45,Center,0.0,True,
1575000,1584000,Quiet / Rest,1400.84,149,466,Center,0.0033,False,
1584000,1593000,Quiet / Rest,5134.4,655,1660,Center,0.0773,True,
1593000,1602000,Wake / Active,10872.63,1759,1357,Center,0.2786,False,
1602000,1611000,Quiet / Rest,7277.93,1098,1532,Center,0.3202,False,
1611000,1620000,Quiet / Rest,3715.9,553,753,Center,0.3086,False,
1620000,1629000,Quiet / Rest,8589.61,1226,1994,Center,0.2621,True,
1629000,1638000,Wake / Active,12279.75,2283,989,Center,0.4939,False,
1638000,1647000,Wake / Active,9198.37,1722,1398,MidRight,0.7897,False,
1647000,1656000,Wake / Active,11804.22,2053,1073,MidLeft,0.7527,False,
1656000,1665000,Wake / Active,10854.6,1914,1509,Center,0.4064,False,
1665000,1674000,Quiet / Rest,4859.62,559,1803,Center,0.0559,True,
1674000,1683000,Quiet / Rest,6246.16,853,1469,Center,0.2829,False,
1683000,1692000,Wake / Active,9759.63,1662,1595,MidLeft,0.5781,True,
1692000,1701000,Quiet / Rest,9341.72,1558,1933,MidLeft,0.7282,True,
1701000,1710000,Wake / Active,10521.6,1762,1253,Center,0.4239,False,
1710000,1719000,Quiet / Rest,9386.97,1495,1805,MidLeft,0.7133,True,
1719000,1728000,Quiet / Rest,7791.57,1272,1428,Center,0.4385,True,
1728000,1737000,Quiet / Rest,9244.57,1350,1757,Center,0.2256,False,
1737000,1746000,Quiet / Rest,11408.43,1731,1909,Center,0.2473,False,
1746000,1755000,Quiet / Rest,6240.04,874,1474,MidRight,0.54,False,
1755000,1764000,Wake / Active,15901.75,2765,810,Center,0.7136,False,
1764000,1773000,Wake / Active,13200.41,2313,643,MidLeft,0.6526,False,
1773000,1782000,Quiet / Rest,8730.24,1084,2198,MidRight,0.9528,False,
1782000,1791000,Quiet / Rest,8883.35,872,2469,MidRight,0.9569,False,
